image_path,cluster_label
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T161747_1917_patch_12.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162115_2000_patch_9.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162119_2002_patch_4.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162515_2096_patch_12.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162517_2097_patch_4.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162522_2099_patch_8.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162547_2109_patch_13.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162547_2109_patch_2.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162552_2111_patch_7.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162555_2112_patch_12.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T162802_2163_patch_12.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T163238_2183_patch_13.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T163641_2280_patch_9.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T163651_2284_patch_7.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T163731_2300_patch_3.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LAKE_20230502T163736_2302_patch_8.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LIGHTH_20201101T141625_0252_patch_7.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LIGHTH_20201101T145029_0784_patch_3.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_LIGHTH_20201101T145654_0938_patch_10.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170915T151223_0001_patch_2.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170915T151240_0008_patch_0.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170915T152142_0088_patch_6.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170915T152149_0089_patch_6.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170915T152804_0231_patch_8.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170916T080830_0005_patch_2.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170916T080917_0024_patch_5.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170916T080920_0025_patch_9.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170916T083828_0490_patch_0.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170916T084048_0544_patch_5.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170916T085730_0610_patch_7.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20170916T085911_0648_patch_9.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T074233_0057_patch_2.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T074430_0098_patch_5.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T074455_0104_patch_2.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T074601_0125_patch_2.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T074614_0130_patch_0.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T074621_0133_patch_10.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T075831_0385_patch_8.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T084559_0137_patch_5.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181012T085109_0254_patch_3.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T073757_0007_patch_11.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T073757_0007_patch_7.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T073932_0042_patch_4.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T074406_0141_patch_8.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T074443_0156_patch_11.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T074844_0245_patch_1.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T074956_0270_patch_5.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T074958_0271_patch_9.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T075011_0276_patch_2.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T075530_0397_patch_8.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T075656_0428_patch_10.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T080413_0453_patch_11.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T080433_0461_patch_6.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T080937_0580_patch_5.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T080937_0580_patch_9.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T081010_0590_patch_3.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T081012_0591_patch_3.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T081042_0603_patch_6.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T081550_0723_patch_2.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T081634_0737_patch_2.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T082102_0840_patch_3.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T082139_0855_patch_2.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T082152_0860_patch_5.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181013T082202_0864_patch_6.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181014T080213_0260_patch_6.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181014T080816_0398_patch_4.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181014T082642_0464_patch_8.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181014T082721_0476_patch_6.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181015T074924_0255_patch_7.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181015T080612_0492_patch_2.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181015T080622_0496_patch_5.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181015T081208_0621_patch_6.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181015T081525_0695_patch_4.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20181015T082532_0753_patch_2.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20190430T081917_0161_patch_7.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T105132_0343_patch_8.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T110816_0396_patch_12.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T110911_0417_patch_8.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T110920_0420_patch_3.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111150_0478_patch_9.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111152_0479_patch_8.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111152_0479_patch_9.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111335_0519_patch_5.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111702_0598_patch_8.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111803_0622_patch_11.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111806_0623_patch_11.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111808_0624_patch_11.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T111923_0653_patch_1.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T112228_0724_patch_2.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_MANGB_20201028T112241_0729_patch_1.jpg,2
